modelo,meses_disponibles,nombre_variable,sector,frecuencia_seleccion_pct,impacto_absoluto_medio_todos_pronosticos_pp,impacto_medio_firmado_pp,reduccion_error_media_pp,proporcion_veces_ayudo_pct,periodo_impacto_maximo,ranking_importancia,modelo_etiqueta
dfm_lasso_sin_ar1,1,"PIM-PF grupos y clases | Brasil | 25.4 Fabricação de artigos de cutelaria, de serralheria e ferramentas | PIMPF - Número-índice (2022=100)",real,8.860759493670885,0.0037879227872613,-0.0376311314388211,-0.03088797479698,42.85714285714285,2011-T1,36.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,"PIM-PF actividades industriales | Brasil | 3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos | PIMPF - Número-índice (2022=100)",real,10.126582278481012,0.0033910176470393,-0.01452607550913,-0.0021884077429559,62.5,2011-T2,37.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PIM-PF actividades industriales | Brasil | 3.14 Confecção de artigos do vestuário e acessórios | PIMPF - Número-índice (2022=100),real,7.594936708860759,0.0033702115974196,0.0257402212055318,0.0063489514208036,50.0,2011-T1,38.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,Licenciamento total - Caminhões - montados - qde.,real,2.5316455696202533,0.0033698910151713,0.1258142346128689,0.1258142346128689,50.0,2007-T4,39.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PMC actividades complementarias | Brasil | Índice de receita nominal de vendas no comércio varejista | Móveis e eletrodomésticos | PMC - Número-índice (2022=100),real,8.860759493670885,0.0031062166905577,-0.0050934703184635,0.0304606411883599,71.42857142857143,2010-T3,40.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,comex stat: importaciones totales fob usd,externo,24.050632911392405,0.0030418764064626,-0.0007224300097866,0.0005085260985316,47.368421052631575,2009-T2,41.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,Sondagem CNI: evolucion de la produccion industrial,real,8.860759493670885,0.0030382020183964,0.023594721609134,-0.0020239565142315,42.85714285714285,2024-T1,42.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PIM-PF actividades industriales | Brasil | 3.22 Fabricação de produtos de borracha e de material plástico | PIMPF - Número-índice (2022=100),real,6.329113924050633,0.0029482213320892,0.0129035543215241,0.0465818970470109,100.0,2023-T3,43.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,Zona euro: indice produccion industrial,real,5.063291139240507,0.0029469522305001,-0.0582023065523773,-0.0582023065523774,0.0,2009-T2,44.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,selic tasas: selic meta fin mes pct anual,real,1.2658227848101269,0.0028586132385277,0.2258304458436942,-0.0229724455650742,0.0,2007-T3,45.0,DFM · LASSO sin AR1
