modelo,modelo_etiqueta,muestra,muestra_etiqueta,informacion,observaciones,trimestres,periodo_inicial,periodo_final,rmse_modelo,sesgo_observado_menos_modelo,mae_modelo,rmse_ar1,ratio_ar1,mejora_ar1_pct,rmse_ar2,ratio_ar2,mejora_ar2_pct,rmse_ma4,ratio_ma4,mejora_ma4_pct
dfm_avanzado_estrategia3_lovo,DFM avanzado · leave-one-out automático,solo_covid,Solo COVID,M2,4,4,2021-T1,2021-T4,0.5881405041357418,-0.3171653360966045,0.3318179151448732,2.306834658882521,0.2549556388322384,74.50443611677616,6.2428025060365755,0.09421097392830066,90.57890260716994,1.2191866974306902,0.4824039709219163,51.759602907808365
dfm_avanzado_estrategia3_lovo,DFM avanzado · leave-one-out automático,solo_covid,Solo COVID,M3,4,4,2021-T1,2021-T4,0.7287818407709566,-0.11086151963139122,0.510891608366204,0.8915185069978694,0.8174612585722781,18.253874142772187,2.893705730481045,0.2518507093151469,74.8149290684853,1.6223586950448567,0.4492112890921489,55.07887109078511
dfm_avanzado_estrategia3_lovo,DFM avanzado · leave-one-out automático,post_covid,Post-COVID,M1-M3,54,18,2022-T1,2026-T2,0.4670791610626564,0.18294027025830745,0.3443668563364365,0.7555852989351113,0.6181686723139496,38.18313276860504,0.8148723719965378,0.5731930264346241,42.68069735653759,0.5562829371772009,0.8396431561118886,16.035684388811145
dfm_avanzado_estrategia3_lovo,DFM avanzado · leave-one-out automático,post_covid,Post-COVID,M1,18,18,2022-T1,2026-T2,0.40242284029278264,0.21280183070591843,0.3144109228778914,0.7896679937503711,0.5096101696885996,49.038983031140035,0.8176012737749225,0.4921993803101212,50.78006196898788,0.5590771823393477,0.7197983623816018,28.02016376183982
dfm_avanzado_estrategia3_lovo,DFM avanzado · leave-one-out automático,post_covid,Post-COVID,M2,18,18,2022-T1,2026-T2,0.5207212737473985,0.1789422130409399,0.3598542302692126,0.7896679937503711,0.6594179805545066,34.05820194454934,0.8176012737749225,0.6368890196846096,36.31109803153903,0.5590771823393477,0.9313942514494037,6.860574855059632
dfm_avanzado_estrategia3_lovo,DFM avanzado · leave-one-out automático,post_covid,Post-COVID,M3,18,18,2022-T1,2026-T2,0.47052528175918584,0.15707676702806408,0.3588354158622053,0.6823315551790875,0.6895845255693764,31.041547443062356,0.8093869668910171,0.5813353822171706,41.86646177828294,0.5506519108824309,0.854487694422343,14.551230557765704
dfm_avanzado_estrategia2_pesos,DFM avanzado · poda por contribución,completa_con_covid,Todo el test,M1-M3,66,22,2021-T1,2026-T2,0.5423341594824073,0.19828688615449017,0.39269429881264795,1.0771750646585532,0.5034781970694042,49.65218029305958,2.4030653199744694,0.22568431868018016,77.43156813198199,0.7699848355609161,0.7043439486536502,29.565605134634975
dfm_avanzado_estrategia2_pesos,DFM avanzado · poda por contribución,completa_con_covid,Todo el test,M1,22,22,2021-T1,2026-T2,0.5460783947694748,0.2423045824943099,0.3899017266878785,1.2156237512272865,0.44921662168755533,55.078337831244475,2.7627623338157,0.19765666705585794,80.2343332944142,0.7252546931123541,0.7529470680514136,24.705293194858633
dfm_avanzado_estrategia2_pesos,DFM avanzado · poda por contribución,completa_con_covid,Todo el test,M2,22,22,2021-T1,2026-T2,0.5793290796790297,0.17939312403920601,0.3990342552445595,1.2156237512272865,0.4765693982979047,52.34306017020953,2.7627623338157,0.20969197117976776,79.03080288202322,0.7252546931123541,0.798793975662398,20.120602433760205
dfm_avanzado_estrategia2_pesos,DFM avanzado · poda por contribución,completa_con_covid,Todo el test,M3,22,22,2021-T1,2026-T2,0.4985531324028657,0.17316295192995465,0.389146914505506,0.724869747382711,0.6877830592364942,31.22169407635058,1.434732508131902,0.34748855941935014,65.25114405806498,0.852432520037993,0.5848593533018251,41.514064669817486
dfm_avanzado_estrategia2_pesos,DFM avanzado · poda por contribución,sin_covid,Sin COVID,M1-M3,54,18,2022-T1,2026-T2,0.5358311333296649,0.15320819594402518,0.3855844042517359,0.7555852989351113,0.7091603477262485,29.083965227375153,0.8148723719965378,0.6575644870825753,34.24355129174247,0.5562829371772009,0.9632348891531413,3.676511084685874
dfm_avanzado_estrategia2_pesos,DFM avanzado · poda por contribución,sin_covid,Sin COVID,M1,18,18,2022-T1,2026-T2,0.5320747014581254,0.20042608995529734,0.37877715048667526,0.7896679937503711,0.6737954503273489,32.62045496726511,0.8176012737749225,0.65077528438954,34.922471561045995,0.5590771823393477,0.9517016939088164,4.829830609118357
dfm_avanzado_estrategia2_pesos,DFM avanzado · poda por contribución,sin_covid,Sin COVID,M2,18,18,2022-T1,2026-T2,0.5842422141888884,0.14851595841082055,0.4033131240991229,0.7896679937503711,0.7398580401038495,26.014195989615054,0.8176012737749225,0.7145808512398728,28.54191487601272,0.5590771823393477,1.045011731196474,-4.501173119647395
dfm_avanzado_estrategia2_pesos,DFM avanzado · poda por contribución,sin_covid,Sin COVID,M3,18,18,2022-T1,2026-T2,0.4867263682645219,0.1106825394659577,0.3746629381694093,0.6823315551790875,0.7133282413368289,28.66717586631711,0.8093869668910171,0.6013518726822531,39.86481273177469,0.5506519108824309,0.8839093420824291,11.60906579175709
dfm_avanzado_estrategia2_pesos,DFM avanzado · poda por contribución,solo_covid,Solo COVID,M1-M3,12,4,2021-T1,2021-T4,0.5706814851334331,0.4011409921015825,0.42468882433675265,1.9525861086571816,0.29226956117489644,70.77304388251035,5.3640376307831135,0.10639028366587305,89.3609716334127,1.3668552888256016,0.417514194661939,58.248580533806106
dfm_avanzado_estrategia2_pesos,DFM avanzado · poda por contribución,solo_covid,Solo COVID,M1,4,4,2021-T1,2021-T4,0.6050976591378827,0.4307577989198663,0.4399623195932927,2.306834658882521,0.26230647125399303,73.76935287460068,6.2428025060365755,0.09692724678584243,90.30727532141576,1.2191866974306902,0.49631255033627203,50.3687449663728
dfm_avanzado_estrategia2_pesos,DFM avanzado · poda por contribución,solo_covid,Solo COVID,M2,4,4,2021-T1,2021-T4,0.556683628561255,0.3183403693669404,0.37977934539902436,2.306834658882521,0.24131925815217473,75.86807418478253,6.2428025060365755,0.08917207104068421,91.08279289593158,1.2191866974306902,0.4566024463147507,54.33975536852493
dfm_avanzado_estrategia2_pesos,DFM avanzado · poda por contribución,solo_covid,Solo COVID,M3,4,4,2021-T1,2021-T4,0.5486275904655468,0.45432480801794095,0.45432480801794095,0.8915185069978694,0.6153855317182528,38.461446828174715,2.893705730481045,0.1895934284839474,81.04065715160527,1.6223586950448567,0.338166641040117,66.18333589598831
dfm_avanzado_estrategia2_pesos,DFM avanzado · poda por contribución,post_covid,Post-COVID,M1-M3,54,18,2022-T1,2026-T2,0.5358311333296649,0.15320819594402518,0.3855844042517359,0.7555852989351113,0.7091603477262485,29.083965227375153,0.8148723719965378,0.6575644870825753,34.24355129174247,0.5562829371772009,0.9632348891531413,3.676511084685874
dfm_avanzado_estrategia2_pesos,DFM avanzado · poda por contribución,post_covid,Post-COVID,M1,18,18,2022-T1,2026-T2,0.5320747014581254,0.20042608995529734,0.37877715048667526,0.7896679937503711,0.6737954503273489,32.62045496726511,0.8176012737749225,0.65077528438954,34.922471561045995,0.5590771823393477,0.9517016939088164,4.829830609118357
dfm_avanzado_estrategia2_pesos,DFM avanzado · poda por contribución,post_covid,Post-COVID,M2,18,18,2022-T1,2026-T2,0.5842422141888884,0.14851595841082055,0.4033131240991229,0.7896679937503711,0.7398580401038495,26.014195989615054,0.8176012737749225,0.7145808512398728,28.54191487601272,0.5590771823393477,1.045011731196474,-4.501173119647395
dfm_avanzado_estrategia2_pesos,DFM avanzado · poda por contribución,post_covid,Post-COVID,M3,18,18,2022-T1,2026-T2,0.4867263682645219,0.1106825394659577,0.3746629381694093,0.6823315551790875,0.7133282413368289,28.66717586631711,0.8093869668910171,0.6013518726822531,39.86481273177469,0.5506519108824309,0.8839093420824291,11.60906579175709
dfm_avanzado_estrategia1_lasso,DFM avanzado · LASSO como filtro,completa_con_covid,Todo el test,M1-M3,66,22,2021-T1,2026-T2,0.5690661327323668,0.18462894341912664,0.46058464934944227,1.0771750646585532,0.5282949368241748,47.170506317582515,2.4030653199744694,0.23680843296361695,76.3191567036383,0.7699848355609161,0.7390614807599624,26.093851924003765
